identifier,height,width,length
1,11.092407219048194,3.7465224005310276,4.45889495926377
4,8.833344180144408,3.2586046050577657,3.283377606246993
5,8.10696713677147,3.2396089219559636,3.446840791805381
6,8.858127569945296,3.3885962798346068,3.8619892392732353
7,9.376745746550695,3.1774286017787716,5.1699950906036225
8,6.647095581849031,2.8137180446218113,4.005445733216486
9,11.538220195128256,3.5273963904478745,5.377377514668002
10,6.8035325626038095,2.813319282090367,3.7610936985188
11,6.811447289296666,1.7853478801976332,4.923786788935217
17,6.997915673453633,2.9565596307537687,4.2644199931186755
18,7.709471585799049,2.701334873848247,3.545598553011428
21,8.050877619212715,2.6565230058546945,4.443439115811286
22,9.375568275966835,3.4054528196884752,4.399702720663029
24,9.251079884133585,2.9425827972617222,4.920740922609577
25,8.026886198810853,2.3174763660419786,4.238870099123193
26,9.369248008612573,3.139498076650101,4.014329157294217
27,7.957512464419496,2.7750017727444334,4.340143076730317
28,9.184815738152935,3.018931580106437,4.669502596208213
29,9.223144409629167,2.6383444857890135,5.403623571469813
30,11.491742797706294,3.537178797669182,5.280118860676778
31,10.14371842333788,2.570007576388342,5.456023390408253
33,7.104984696846836,2.9424260903003785,5.127147301134467
34,11.148590964942198,3.625259353763326,4.685512214546728
35,8.858258173675239,3.4932881032735006,4.9110401491099545
36,8.872435963527249,3.404153685939322,4.797772713214278
37,7.042319378733955,2.260392380668666,4.1933894934271265
38,6.70315807812076,2.8043036130402044,3.8395597497666385
39,6.956299932690954,1.7938329516706402,4.744987995995416
40,13.522605737561612,3.8973281789058127,4.868606140733172
41,13.486165146916045,4.406118541700108,4.435822224691909
42,13.680735116745549,3.7580803569504457,6.0426219523425555
43,13.167869623324497,3.9731273065781094,5.899720472390554
44,12.973824867831937,4.224954840871395,5.116248720540312
45,12.99413524304659,4.020702164827894,4.966834093990503
46,12.958024218009534,4.974088555237573,4.938424005865883
47,12.975514457427673,3.7495881430676175,4.474284047096637
48,12.934727071128581,4.556620725754257,5.074174737339447
49,12.877004486735625,4.526137297260723,5.515308879158292
50,12.56447154633143,4.75535044243937,5.352834717606851
51,12.717770239527626,3.7549739388422463,5.656475130993414
52,11.47987426930997,3.6214767413287228,6.195295968334784
56,6.454076856751472,1.4453286618098624,4.331560101301504
57,7.494748328020199,2.8751734190962566,5.022718806740627
58,8.685223295715073,3.5343474627798295,4.635561711757768
59,6.06913844077763,1.6595488977359665,4.979222757623183
60,9.516591151616373,3.2713373672913977,5.1906855701186965
62,9.30439774537473,3.553211740074306,4.379066548089367
63,9.445170192865024,2.862292819017867,4.84311498026277
64,9.344987505377025,2.955533420809677,4.88519942416161
68,8.04753530040347,2.829610163647618,4.626599953009825
85,11.499550348696957,3.5447832973512345,6.353536834836829
89,11.413205085399273,3.4544061480338706,5.068688341911784
