identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone
103,3,0.0,1.0,2,2,1.0,0,0,0,0,0,0
104,4,0.0,1.0,2,2,1.0,0,0,0,0,0,0
105,2,1.0,1.0,2,2,1.0,0,0,0,0,0,0
106,3,1.0,1.0,2,2,1.0,0,0,0,0,0,0
107,4,1.0,1.0,2,2,1.0,0,0,0,0,0,0
108,1,0.0,0.0,1,1,1.0,0,0,0,0,0,0
109,1,0.0,0.0,1,1,1.0,0,0,1,0,0,0
110,1,0.0,1.0,1,1,0.6666666666666666,1,0,0,0,0,0
111,1,0.0,1.0,1,1,1.0,2,0,0,0,0,0
112,1,0.0,1.0,2,2,1.0,2,0,0,0,0,0
113,1,0.0,1.0,2,2,1.0,2,0,0,0,0,0
114,1,0.0,1.0,2,2,0.6666666666666666,1,0,0,0,0,0
115,1,0.0,1.0,2,2,0.6666666666666666,1,0,0,0,0,0
116,1,0.0,1.0,2,2,0.6666666666666666,1,0,0,0,0,0
117,1,0.0,0.0,2,2,1.0,1,0,0,1,0,0
118,1,0.0,0.0,2,2,1.0,1,0,0,0,0,0
119,1,0.0,0.0,2,2,1.0,1,0,1,0,0,0
120,1,0.0,0.0,2,2,1.0,0,0,0,1,0,0
121,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0
122,1,0.0,0.0,2,2,1.0,0,0,1,0,0,0
124,2,0.0,0.0,1,1,0.75,0,0,0,0,0,0
127,2,0.0,0.0,1,1,0.75,0,0,0,0,0,0
130,2,0.0,0.5,1,1,1.0,0,0,0,1,0,0
131,2,0.0,0.5,2,2,1.0,0,0,1,0,0,0
132,2,0.0,0.5,2,2,1.0,0,0,0,1,0,0
133,2,0.0,0.5,2,2,1.0,0,0,0,0,0,0
134,2,0.0,0.5,2,2,1.0,0,0,1,0,0,0
135,2,0.0,0.5,1,1,1.0,0,0,0,0,0,0
136,2,0.0,0.5,1,1,1.0,0,0,1,0,0,0
137,2,0.0,0.5,1,1,0.75,0,0,0,0,0,0
139,2,0.0,0.5,1,1,1.0,0,0,0,1,0,0
140,2,0.0,0.5,1,1,1.0,0,0,1,0,0,0
141,2,0.0,0.5,1,1,1.0,0,0,0,0,0,0
142,2,0.0,0.5,1,1,1.0,0,0,0,1,0,0
143,2,0.0,0.5,1,1,1.0,0,0,1,0,0,0
144,2,0.0,0.5,1,1,1.0,0,0,0,0,0,0
147,2,1.0,0.0,2,2,1.0,0,0,0,2,0,0
152,2,1.0,0.0,2,2,1.0,0,0,2,0,0,0
155,1,0.0,0.0,1,2,1.0,0,0,0,1,0,0
157,1,0.0,0.0,1,2,1.0,0,0,1,0,0,0
159,1,0.0,0.0,1,2,1.0,0,0,0,0,0,0
160,1,0.0,0.0,1,3,1.0,0,0,0,0,0,0
161,1,0.0,1.0,1,2,1.0,0,0,0,0,0,0
162,1,0.0,1.0,1,3,1.0,0,0,0,0,0,0
163,1,0.0,1.0,1,2,0.6666666666666666,0,0,0,0,0,0
164,1,0.0,1.0,1,3,0.6666666666666666,0,0,0,0,0,0
165,1,0.0,0.0,1,0,1.0,0,0,0,1,0,0
166,1,0.0,0.0,1,0,1.0,0,0,1,0,0,0
167,1,0.0,0.0,1,0,1.0,0,0,0,0,0,0
168,1,0.0,1.0,1,0,1.0,0,0,0,0,0,0
169,1,0.0,0.0,2,4,1.0,0,0,0,1,0,0
171,1,0.0,0.0,2,4,1.0,0,0,1,0,0,0
173,1,0.0,0.0,2,4,1.0,0,0,0,0,0,0
175,1,0.0,1.0,2,4,1.0,0,0,0,0,0,0
176,1,0.0,1.0,2,6,1.0,0,0,0,0,0,0
177,1,0.0,1.0,2,4,0.6666666666666666,0,0,0,0,0,0
183,2,1.0,1.0,1,1,1.0,0,0,0,0,0,0
187,3,0.0,1.0,1,1,1.0,0,0,0,0,0,0
191,1,0.0,0.0,2,2,1.0,0,1,0,0,0,0
192,3,1.0,1.0,1,1,1.0,0,0,0,0,0,0
193,1,0.0,0.0,2,2,1.0,0,1,0,0,0,0
194,1,0.0,0.0,2,2,1.0,0,1,0,0,0,0
195,2,0.0,0.5,2,2,1.0,0,0,0,0,0,1
196,2,1.0,0.5,2,2,1.0,0,1,0,0,0,0
199,2,1.0,0.0,1,1,1.0,0,0,0,0,0,0
200,5,0.0,1.0,2,2,1.0,0,0,0,0,0,0
203,2,1.0,1.0,2,2,1.0,0,1,0,0,0,0
204,2,1.0,0.5,2,2,1.0,0,1,0,0,0,0
205,2,1.0,0.0,2,4,1.0,0,0,0,0,0,0
209,5,0.0,1.0,2,2,1.0,0,0,0,0,0,0
211,1,0.0,1.0,2,3,1.0,0,0,0,0,0,0
212,1,0.0,1.0,1,1,1.0,0,0,0,0,1,0
213,1,0.0,1.0,1,1,0.6666666666666666,0,0,0,0,1,0
214,1,0.0,1.0,1,2,1.0,0,0,0,0,1,0
215,1,0.0,1.0,1,2,1.0,0,0,0,0,1,0
216,2,1.0,0.5,2,2,1.0,0,1,0,0,0,0
217,2,1.0,0.5,2,2,1.0,0,1,0,0,0,0
218,1,0.0,1.0,1,1,1.0,0,0,0,0,0,1
219,1,0.0,1.0,1,1,1.0,0,0,0,0,0,2
220,1,0.0,1.0,2,2,1.0,0,0,0,0,1,0
221,1,0.0,1.0,2,2,1.0,0,0,0,0,2,0
222,1,0.0,0.0,2,3,1.0,0,0,0,0,0,0
223,2,1.0,0.5,2,2,1.0,0,1,0,0,0,0
224,2,0.0,0.5,2,2,1.0,0,1,0,0,0,0
225,1,0.0,0.0,2,3,1.0,0,0,0,0,1,0
226,1,0.0,0.0,2,3,1.0,0,0,0,0,1,0
227,1,0.0,0.0,2,3,1.0,0,0,0,0,0,1
228,1,0.0,0.0,2,2,1.0,0,0,0,0,1,0
229,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1
232,5,0.0,0.8,2,2,1.0,0,0,0,0,0,0
233,5,0.0,0.6,2,2,1.0,0,0,0,0,0,0
234,2,1.0,0.5,2,2,0.8333333333333334,0,0,0,0,0,0
235,2,1.0,0.5,2,3,1.0,0,0,1,0,0,1
236,2,1.0,0.5,2,2,1.0,0,1,0,0,0,1
237,2,1.0,0.5,2,1,1.0,0,1,0,0,0,0
238,2,1.0,0.5,2,1,1.0,0,0,0,0,0,1
242,5,0.25,0.8,2,2,1.0,0,0,0,0,0,0
248,2,1.0,0.0,1,0,1.0,0,0,0,0,0,0
249,2,1.0,0.5,1,1,1.0,0,0,1,0,0,0
250,2,1.0,0.5,1,1,1.0,0,0,0,0,0,0
