identifier,HOMO,LUMO,HOMO_LUMO_gap
170,-10.714,-6.138,4.5760000000000005
171,-12.774,-6.981,5.792999999999999
172,-11.087,-6.171,4.9159999999999995
173,-12.944,-7.176,5.768000000000001
174,-11.27,-6.109,5.161
175,-12.951,-6.653,6.298000000000001
176,-11.72,-6.028,5.692000000000001
177,-13.371,-7.097,6.274
178,-11.755,-6.11,5.6450000000000005
183,-13.597,-8.922,4.674999999999999
186,-10.1741,-8.32478,1.8493199999999987
187,-12.248,-9.349,2.898999999999999
188,-13.868,-9.42276,4.44524
189,-9.87774,-6.34788,3.5298599999999993
190,-15.2874,-8.552,6.7354
191,-14.1162,-8.56424,5.551959999999999
192,-11.837,-7.947,3.8899999999999997
193,-13.9371,-8.20179,5.735309999999998
194,-14.0283,-8.42737,5.60093
195,-12.188,-7.71851,4.46949
196,-12.0402,-6.88857,5.151630000000001
197,-10.1771,-8.31635,1.8607499999999995
198,-13.482,-9.636,3.846
199,-13.432,-9.538,3.894
200,-9.065,-7.29,1.7749999999999995
201,-9.642,-7.86,1.7819999999999991
202,-10.237,-6.016,4.221
203,-12.178,-7.075,5.103000000000001
204,-12.077,-7.313,4.764
205,-10.7436,-6.50244,4.241160000000001
206,-8.614,-5.471,3.1430000000000007
207,-10.849,-7.359,3.49
208,-11.171,-7.832,3.3389999999999995
209,-9.952,-6.35,3.6020000000000003
210,-10.425,-7.73,2.6950000000000003
211,-13.387,-7.271,6.1160000000000005
212,-16.369,-10.635,5.734
213,-16.322,-10.505,5.816999999999998
214,-15.968,-10.164,5.804
215,-15.62,-9.703,5.917
216,-12.203,-7.05864,5.14436
217,-12.0182,-7.37293,4.64527
218,-15.956,-10.625,5.3309999999999995
219,-15.547,-10.41,5.1370000000000005
220,-14.03,-8.025,6.004999999999999
221,-13.914,-7.85,6.064
222,-12.941,-7.191,5.750000000000001
223,-12.0438,-7.20585,4.837949999999999
224,-12.3651,-7.89512,4.46998
225,-12.913,-7.235,5.678
226,-13.122,-7.45,5.672
227,-12.883,-7.382,5.5009999999999994
228,-13.99,-8.252,5.7379999999999995
229,-13.788,-8.334,5.454000000000001
230,-9.33133,-6.00528,3.3260499999999995
231,-9.78604,-5.79929,3.98675
232,-9.15582,-7.17673,1.9790900000000002
233,-9.25841,-7.05619,2.2022199999999996
234,-12.056,-6.907,5.148999999999999
235,-11.571,-6.731,4.84
236,-11.941,-7.014,4.9270000000000005
237,-12.492,-7.38,5.112000000000001
238,-12.583,-6.961,5.622
239,-8.77622,-6.01562,2.7606
240,-9.13351,-6.03222,3.1012899999999997
241,-9.13351,-6.03222,3.1012899999999997
242,-9.02248,-6.78108,2.2413999999999996
243,-10.5161,-6.95714,3.55896
244,-8.78711,-5.97726,2.80985
245,-9.99175,-6.694,3.2977499999999997
246,-9.38548,-7.34653,2.03895
247,-9.1297,-7.35687,1.77283
248,-14.028,-9.623,4.405000000000001
249,-13.634,-8.997,4.6370000000000005
250,-13.742,-8.859,4.883000000000001
251,-13.274,-9.091,4.183
252,-13.503,-9.348,4.154999999999999
253,-13.599,-9.044,4.555
254,-13.651,-8.969,4.682
255,-13.717,-9.822,3.8950000000000014
256,-13.356,-9.724,3.6319999999999997
257,-14.118,-9.948,4.17
258,-13.917,-9.402,4.515000000000001
259,-13.897,-9.641,4.256
260,-13.689,-9.425,4.263999999999999
261,-13.427,-8.96,4.466999999999999
262,-13.519,-8.984,4.535
263,-13.933,-9.438,4.494999999999999
264,-13.845,-9.724,4.121
265,-13.617,-9.508,4.109000000000002
266,-13.473,-9.565,3.9080000000000013
267,-11.279,-7.124,4.155
268,-10.49,-6.793,3.697
269,-12.045,-6.895,5.15
270,-12.05,-7.159,4.891000000000001
271,-11.956,-7.165,4.7909999999999995
272,-11.987,-7.001,4.986
273,-11.94,-6.913,5.026999999999999
274,-11.86,-6.99,4.869999999999999
275,-11.798,-7.4,4.398
276,-12.507,-7.725,4.782
277,-12.026,-8.346,3.6799999999999997
278,-12.713,-7.367,5.345999999999999
279,-12.662,-7.807,4.855
280,-12.32,-8.003,4.317
281,-13.507,-7.719,5.787999999999999
282,-13.079,-7.36,5.719
283,-14.781,-8.932,5.849
284,-14.904,-8.87,6.034000000000001
285,-14.643,-8.906,5.737
286,-14.508,-8.82,5.687999999999999
287,-13.962,-8.112,5.85
288,-13.756,-8.007,5.7490000000000006
289,-10.748,-6.099,4.648999999999999
290,-10.822,-6.29,4.531999999999999
291,-10.832,-6.684,4.148000000000001
292,-11.062,-6.69,4.371999999999999
293,-11.561,-6.329,5.232
294,-12.68,-7.265,5.415
295,-12.265,-6.828,5.437
296,-12.466,-7.065,5.400999999999999
297,-12.3,-7.337,4.963000000000001
298,-12.298,-7.001,5.297
299,-12.143,-6.822,5.321000000000001
300,-10.588,-6.118,4.469999999999999
301,-10.719,-6.144,4.574999999999999
302,-10.544,-6.202,4.3420000000000005
303,-10.802,-6.316,4.486
304,-10.605,-6.4,4.205
305,-10.892,-6.713,4.178999999999999
306,-11.126,-6.683,4.443
307,-11.677,-6.632,5.045
308,-11.698,-6.7,4.998
309,-12.48,-7.252,5.228000000000001
310,-12.608,-7.306,5.3020000000000005
311,-12.201,-7.022,5.179
312,-12.269,-7.052,5.2170000000000005
313,-12.186,-7.262,4.924
314,-12.355,-7.475,4.880000000000001
315,-12.053,-7.193,4.860000000000001
316,-11.872,-6.826,5.046
317,-11.601,-6.569,5.032000000000001
318,-12.169,-6.969,5.2
319,-12.097,-7.044,5.053
320,-12.012,-6.796,5.216
321,-11.95,-6.804,5.145999999999999
322,-10.456,-6.338,4.117999999999999
323,-10.428,-6.292,4.136000000000001
324,-10.856,-6.455,4.401
325,-10.457,-6.623,3.8340000000000005
326,-10.956,-6.934,4.021999999999999
327,-10.952,-6.747,4.205
328,-11.187,-6.891,4.295999999999999
329,-11.069,-6.779,4.290000000000001
330,-13.527,-9.2,4.327
331,-11.736,-6.886,4.8500000000000005
332,-11.568,-6.867,4.701
333,-12.442,-7.601,4.841
334,-12.54,-7.602,4.937999999999999
335,-12.114,-7.062,5.0520000000000005
336,-12.225,-7.363,4.861999999999999
337,-12.093,-7.591,4.502
338,-12.289,-7.683,4.606
