identifier,inorganic_cbm_gamma,inorganic_cbm_z,inorganic_vbm_gamma,inorganic_vbm_z,organic_LUMO,organic_HOMO,alignment_type
1,2.6181510089584816,2.6181510089584816,-0.06634899104151859,-0.06634899104151859,3.9012510089584818,-0.7729489910415187,Ia
4,2.5830260089715202,2.5830260089715202,0.00682600897151997,0.00682600897151997,4.14212600897152,-1.5459739910284802,Ia
5,2.419301008973499,2.419301008973499,0.18480100897349905,0.18480100897349905,4.525701008973499,-1.222398991026501,Ia
6,2.2963760089600416,2.2963760089600416,0.04637600896004146,0.04637600896004146,4.524576008960041,-0.6715239910399587,Ia
7,2.5884760089514733,2.5884760089514733,-0.046923991048526736,-0.046923991048526736,4.209476008951473,-1.7047239910485268,Ia
8,2.6563760089682837,2.5956760089682835,-0.14622399103171635,0.05757600896828363,2.7649760089682838,-3.238723991031717,Ia
9,2.6509260089702162,2.6509260089702162,-0.08717399102978385,-0.08717399102978385,3.690626008970216,-0.8264739910297839,Ia
10,2.6638760089724047,2.5954760089724047,-0.11742399102759526,0.06377600897240476,2.621676008972405,-3.4019239910275956,Ia
11,2.387401008963208,2.339901008963208,-0.11739899103679208,0.2033010089632079,2.900201008963208,-3.027098991036792,Ia
17,2.298501008967795,2.270901008967795,0.4765010089677947,0.6828010089677946,4.688201008967794,-0.5509989910322054,Ia
18,2.608701008968912,2.5860010089689123,-0.06029899103108771,0.027601008968912266,4.312401008968912,-1.4377989910310878,Ia
21,2.4459260089818113,2.432926008981811,-0.06647399101818896,0.02342600898181113,4.241026008981811,-2.078373991018189,Ia
22,2.4321260089701,2.4321260089701,0.006626008970099684,0.006626008970099684,4.2529260089701,-1.9578739910299001,Ia
24,2.567251008974919,2.567251008974919,-0.08764899102508072,-0.08764899102508072,4.002151008974919,-2.0622489910250805,Ia
25,2.5019260089607864,2.482526008960787,-0.08937399103921351,0.007926008960786435,4.249726008960786,-2.179673991039213,Ia
26,2.518076008964093,2.518076008964093,-0.018323991035907317,-0.018323991035907317,4.259376008964092,-1.953023991035907,Ia
27,2.4156010089714504,2.4000010089714503,-0.07309899102854989,0.05880100897145013,4.05010100897145,-2.3634989910285498,Ia
28,2.2613510089739184,2.2613510089739184,0.14175100897391812,0.14175100897391812,4.106951008973918,-2.1458489910260816,Ia
29,2.450651008975362,2.450651008975362,-0.014748991024638336,-0.014748991024638336,2.679351008975362,-1.8255489910246383,Ia
30,2.485576008972614,2.485576008972614,-0.056123991027385745,-0.056123991027385745,3.9867760089726145,-0.5744239910273857,Ia
31,2.464851008982766,2.464851008982766,-0.04844899101723432,-0.04844899101723432,3.8123510089827657,-0.6945489910172343,Ia
33,2.385251008959273,2.356451008959273,0.546151008959273,0.776251008959273,4.519051008959273,-1.0115489910407267,Ia
34,2.566576008979087,2.566576008979087,0.060276008979086915,0.060276008979086915,3.986776008979087,-0.7821239910209131,Ia
35,2.4173260089699133,2.4173260089699133,0.12582600896991347,0.12582600896991347,4.319926008969913,-1.1789739910300865,Ia
36,2.378626008970449,2.378626008970449,0.0014260089704488665,0.0014260089704488665,4.217826008970449,-1.2058739910295508,Ia
37,2.5200510089788075,2.471151008978808,-0.18374899102119246,0.06635100897880752,2.738851008978808,-3.3571489910211922,Ia
38,2.6193010089628355,2.4660010089628357,-0.059498991037164606,0.14480100896283532,2.5076010089628356,-3.770298991037165,Ia
39,2.5900510089651405,2.5164510089651406,-0.18864899103485966,0.09495100896514042,2.5900510089651405,-3.905348991034859,Ia
40,2.547751008978598,2.547751008978598,0.03065100897859796,0.03065100897859796,4.055351008978598,-1.030448991021402,Ia
41,2.333026008963976,2.333026008963976,0.06602600896397626,0.06602600896397626,4.217326008963976,-1.4860739910360237,Ia
42,2.476451008965117,2.476451008965117,0.3158510089651171,0.3158510089651171,4.170751008965117,-0.33304899103488295,Ia
43,2.478576008973266,2.478576008973266,0.37067600897326614,0.37067600897326614,4.132476008973266,-0.3384239910267338,Ia
44,2.501476008972684,2.501476008972684,-0.060023991027315926,-0.060023991027315926,3.9718760089726843,-0.9241239910273159,Ia
45,2.458676008979739,2.458676008979739,-0.040223991020261085,-0.040223991020261085,4.2493760089797386,-1.1724239910202612,Ia
46,2.624526008966258,2.624526008966258,-0.125673991033742,-0.125673991033742,4.252826008966258,-0.836873991033742,Ia
47,2.619476008973499,2.619476008973499,-0.07552399102650098,-0.07552399102650098,3.9895760089734993,-1.0915239910265009,Ia
48,2.667101008959948,2.667101008959948,-0.14569899104005168,-0.14569899104005168,3.7530010089599486,-0.7262989910400518,Ia
49,2.501001008973592,2.501001008973592,0.12460100897359216,0.12460100897359216,4.336201008973592,-1.1815989910264078,Ia
50,2.3477510089724745,2.3477510089724745,0.28865100897247453,0.28865100897247453,4.245251008972475,-0.5747489910275255,Ia
51,2.4928260089769916,2.4928260089769916,0.18022600897699148,0.18022600897699148,4.067726008976991,-0.3762739910230085,Ia
52,2.462601008961718,2.462601008961718,-0.024898991038282192,-0.024898991038282192,3.906601008961718,-0.5357989910382822,Ia
56,2.705226008961648,2.673726008961648,-0.28597399103835197,0.0019260089616479625,4.126526008961648,-2.391973991038352,Ia
57,2.4409510089626956,2.4174510089626957,0.33875100896269567,0.5998510089626957,4.566851008962695,-1.9493489910373043,Ia
58,2.3867510089606236,2.3867510089606236,0.31475100896062347,0.31475100896062347,4.151051008960623,-1.8736489910393765,Ia
59,2.3943010089562695,2.3564010089562695,0.05310100895626957,0.8978010089562695,4.231501008956269,-2.5363989910437303,Ia
60,2.596726008973639,2.596726008973639,-0.07697399102636127,-0.07697399102636127,3.7686260089736385,-2.225773991026361,Ia
62,2.452976008968959,2.452976008968959,-0.01712399103104112,-0.01712399103104112,4.128476008968958,-2.130423991031041,Ia
63,2.5223510089690286,2.5223510089690286,-0.031748991030971285,-0.031748991030971285,4.111651008969028,-1.8201489910309712,Ia
64,2.485951008960018,2.485951008960018,-0.04884899103998186,-0.04884899103998186,4.203551008960018,-1.8746489910399817,Ia
68,2.6219010089710775,2.6219010089710775,-0.15329899102892242,-0.15329899102892242,4.226201008971077,-2.2182989910289224,Ia
85,2.5858760089704256,2.5858760089704256,-0.06062399102957439,-0.06062399102957439,3.8015760089704256,-0.6523239910295745,Ia
89,2.4771260089638134,2.4771260089638134,-0.00037399103618673823,-0.00037399103618673823,3.4771260089638134,-1.1601739910361868,Ia
90,2.277901008970682,2.277901008970682,0.16860100897068175,0.16860100897068175,3.431101008970682,-1.2747989910293183,Ia
97,2.5383260089661186,2.5383260089661186,-0.03717399103388164,-0.03717399103388164,4.490926008966118,-0.39377399103388167,Ia
100,2.484276008962882,2.484276008962882,-0.0009239910371180438,-0.0009239910371180438,3.5980760089628823,-0.3893239910371179,Ia
101,2.6016260089571777,2.6016260089571777,0.0028260089571775504,0.0028260089571775504,3.1662260089571777,-0.09997399104282245,Ia
102,2.620901008974244,2.620901008974244,-0.0760989910257559,-0.0760989910257559,3.0264010089742444,0.13040100897424411,IIa
103,2.5425260089743373,2.5425260089743373,-0.007673991025662796,-0.007673991025662796,3.2366260089743375,-0.08337399102566279,Ia
104,2.5692260089652104,2.5692260089652104,-0.06597399103478974,-0.06597399103478974,2.7941260089652102,0.33632600896521025,IIa
105,2.514751008959669,2.514751008959669,-0.006548991040331131,-0.006548991040331131,4.042251008959669,-1.186648991040331,Ia
106,2.6604260089724745,2.6604260089724745,-0.08417399102752543,-0.08417399102752543,3.931426008972475,-1.0354739910275255,Ia
107,2.7081010089711706,2.7081010089711706,-0.09779899102882939,-0.09779899102882939,3.6379010089711707,-0.8400989910288293,Ia
108,2.65250100896379,2.60320100896379,-0.16279899103620998,0.032501008963789935,3.00070100896379,-3.03569899103621,Ia
110,2.489226008980321,2.497426008980321,-0.17707399101967902,0.390226008980321,2.158226008980321,-3.4878739910196788,IIb
111,2.7597510089614383,2.7194510089614385,-0.19724899103856164,-0.036448991038561585,2.3743510089614386,-3.819148991038561,IIb
112,2.6325510089628588,2.6325510089628588,-0.03054899103714137,-0.03054899103714137,3.431451008962859,-2.496348991037141,Ia
113,2.4383760089756876,2.4383760089756876,-0.004823991024312413,-0.004823991024312413,3.9068760089756878,-2.3145239910243123,Ia
114,2.234901008975618,2.234901008975618,0.21050100897561774,0.21050100897561774,4.123901008975618,-1.9205989910243821,Ia
115,2.4036510089725445,2.4036510089725445,0.07435100897254443,0.07435100897254443,4.138651008972544,-2.0296489910274556,Ia
116,2.279526008975408,2.279526008975408,0.29772600897540824,0.29772600897540824,4.449426008975408,-1.8438739910245916,Ia
118,2.549201008971497,2.549201008971497,-0.05619899102850334,-0.05619899102850334,4.2245010089714965,-1.7020989910285031,Ia
120,2.317326008958691,2.317326008958691,0.018626008958691043,0.018626008958691043,4.643626008958691,-0.635873991041309,Ia
121,2.3027510089845817,2.3027510089845817,0.05505100898458182,0.05505100898458182,4.231851008984582,-1.400648991015418,Ia
122,2.3667010089771314,2.3667010089771314,-0.01899899102286884,-0.01899899102286884,4.439801008977131,-1.192598991022869,Ia
131,2.5740510089616015,2.5740510089616015,-0.04544899103839861,-0.04544899103839861,4.469951008961601,-0.6909489910383987,Ia
133,2.5561760089635803,2.5561760089635803,0.00987600896358043,0.00987600896358043,4.01717600896358,-0.8370239910364196,Ia
141,2.378551008973732,2.378551008973732,0.05155100897373177,0.05155100897373177,2.839451008973732,-1.787248991026268,Ia
145,2.5413010089691683,2.5413010089691683,0.04210100896916835,0.04210100896916835,4.677501008969168,0.5910010089691684,IIa
146,2.5763760089652568,2.5763760089652568,-0.036123991034743175,-0.036123991034743175,4.7464760089652565,0.8503760089652568,IIa
147,2.5494760089642323,2.5494760089642323,-0.08812399103576762,-0.08812399103576762,4.864476008964232,0.31627600896423236,IIa
148,2.6581760089706585,2.6581760089706585,-0.03762399102934155,-0.03762399102934155,4.710276008970658,0.6750760089706584,IIa
149,2.5531760089722417,2.5531760089722417,-0.05892399102775825,-0.05892399102775825,4.311976008972241,0.8632760089722418,IIa
150,2.6028010089747795,2.6028010089747795,-0.0995989910252204,-0.0995989910252204,4.46590100897478,0.13270100897477954,IIa
151,2.6336760089716598,2.6336760089716598,-0.013323991028340365,-0.013323991028340365,3.7857760089716597,0.0004760089716596694,IIa
152,2.263776008967469,2.263776008967469,0.15397600896746866,0.15397600896746866,3.815876008967469,-0.3856239910325313,Ia
